id, x, y, z, t 
0, 1.2479999999999998, 9.671111111111111, 20.53826261257236, 1774303541.7938921 
1, 0.08680851063829788, 1.0500236406619388, 2.184921554528975, 1774303541.7940981 
2, 0.2162162162162162, 1.3184384384384384, 2.7754408935908597, 1774303541.7942634 
3, 0.053333333333333344, 0.25709401709401714, 0.6582776478388578, 1774303541.9078848 
4, 2.94, 5.208888888888889, 12.836414132857726, 1774303542.0169594 
5, 2.336, 3.7546666666666666, 10.26913130628618, 1774303542.0171103 
6, 1.152, 1.7066666666666668, 5.13456565314309, 1774303542.017204 
7, 3.2114285714285717, 3.0882539682539685, 14.67018758040883, 1774303542.017273 
3, 0.056856368563685644, 0.2242957403933014, 0.6429866455661781, 1774303542.017906 
8, 1.9466666666666665, 3.140740740740741, 8.55760942190515, 1774303542.1310785 
6, 1.136253968253968, 1.6795767195767195, 5.018135592981115, 1774303542.1312497 
9, 2.87, 3.36, 12.836414132857726, 1774303542.1313527 
10, 5.64, 5.7955555555555565, 25.672828265715452, 1774303542.131423 
3, 0.11161828764598097, 0.21253149102652422, 0.8344836400627949, 1774303542.1316178 
11, 2.1679999999999997, 0.8106666666666666, 10.26913130628618, 1774303542.131767 
12, 4.32, 1.223111111111111, 20.53826261257236, 1774303542.1318538 
13, 0.07337278106508875, 0.09846153846153846, 0.6076409056974071, 1774303542.1322482 
14, 1.2611764705882353, 0.2593464052287582, 6.040665474285989, 1774303542.132388 
13, 0.07587651334357666, 0.0834515433410461, 0.5884572938363998, 1774303542.250634 
3, 0.10710638790219368, 0.1740084666591422, 0.7245107205667493, 1774303542.2510016 
13, 0.07605261329370767, 0.07480953429408632, 0.5780968016915385, 1774303542.3684359 
3, 0.10753095185846613, 0.1462665431563302, 0.6731106508770801, 1774303542.3688474 
13, 0.07636608751876989, 0.06868881960918538, 0.5742590183857914, 1774303542.4795036 
3, 0.10845193585426059, 0.12544268461084598, 0.6408618891132306, 1774303542.4797943 
3, 0.1238312840190186, 0.1204760010679439, 0.6877751777518597, 1774303542.592863 
15, 2.1333333333333333, -0.2528395061728395, 11.410145895873534, 1774303542.5930624 
13, 0.07696554020764179, 0.06363794663050754, 0.5696786570673742, 1774303542.5937195 
16, 0.3164179104477612, -0.0042454394693200665, 1.5327061651173404, 1774303542.593893 
3, 0.1372612703874098, 0.11815688243849483, 0.730958275034087, 1774303542.7025704 
13, 0.07767085733147759, 0.05971107255716394, 0.5658550153656713, 1774303542.7032077 
16, 0.3384604251469923, -0.011449821599075332, 1.6919483640905706, 1774303542.703458 
3, 0.1448001285572184, 0.11343390210451026, 0.7504958874987827, 1774303542.8157368 
13, 0.0786223753486199, 0.05649150380645252, 0.5636774152465068, 1774303542.8163896 
16, 0.3413931182789827, -0.01603369307533709, 1.6985781804560265, 1774303542.8168042 
3, 0.1552518935127442, 0.11172276915704824, 0.787482459485873, 1774303542.9286063 
17, 2.16, -0.6542222222222223, 20.53826261257236, 1774303542.9287772 
13, 0.07920512512097216, 0.05377596314311996, 0.561432243589204, 1774303542.9292793 
16, 0.3461024634274517, -0.01918915357274698, 1.7182898098629953, 1774303542.9296484 
13, 0.07966935371102273, 0.051471593953229, 0.5596742223182563, 1774303543.0417538 
3, 0.14872899789382057, 0.09826088576917222, 0.7479443791913427, 1774303543.0421228 
3, 0.15749164408417907, 0.09971426505256675, 0.7800038780069289, 1774303543.1563225 
13, 0.08004267591544569, 0.04961847201241798, 0.5582766360583781, 1774303543.156951 
18, 0.32369230769230767, -0.024068376068376068, 1.5798663548132585, 1774303543.157215 
13, 0.0802691880550228, 0.04810648388378608, 0.5571452290118867, 1774303543.2703857 
3, 0.1513371074788034, 0.08870683966869178, 0.7457676332604972, 1774303543.2706773 
3, 0.16115714564094014, 0.09253322199926066, 0.7859224514103439, 1774303543.381559 
19, 2.7, -0.8533333333333334, 25.672828265715452, 1774303543.3817263 
13, 0.08053103744995346, 0.04687663548606524, 0.5562297284460644, 1774303543.382292 
20, 0.3810909090909091, -0.03361616161616162, 1.8671147829611239, 1774303543.3824625 
3, 0.16749056786243224, 0.09430682740371597, 0.8107411657749142, 1774303543.4922376 
21, 1.5314285714285716, -0.507936507936508, 14.67018758040883, 1774303543.492439 
13, 0.08074391748299542, 0.0458767852950318, 0.5554880288820228, 1774303543.4930873 
20, 0.3806060606060606, -0.03447811447811448, 1.8671147829611239, 1774303543.493314 
3, 0.17192201128176632, 0.09521215027462628, 0.8280891880670715, 1774303543.601778 
22, 2.16, -0.6826666666666666, 20.53826261257236, 1774303543.6019523 
13, 0.08091725073905999, 0.045062677524039224, 0.554885530740064, 1774303543.6026163 
20, 0.3691122621522351, -0.03074075190897841, 1.7956344796778478, 1774303543.6028554 
3, 0.1789587758984432, 0.09788740457030039, 0.8577456004414767, 1774303543.7120287 
23, 1.08, -0.35555555555555557, 10.26913130628618, 1774303543.7122512 
13, 0.08105855571726735, 0.04426447555881978, 0.5543951392552472, 1774303543.7126963 
20, 0.36313355932275826, -0.030639699739988906, 1.7650376287828233, 1774303543.7128317 
24, 2.96, -1.6, 25.672828265715452, 1774303543.712887 
25, 1.5771428571428572, -0.5282539682539683, 14.67018758040883, 1774303543.8208725 
13, 0.08903131998172564, 0.043398687483318495, 0.5631053366453722, 1774303543.821145 
3, 0.16203372643243902, 0.08785881686820213, 0.8042758345222892, 1774303543.8219106 
26, 1.8666666666666665, -0.5925925925925926, 17.1152188438103, 1774303543.932449 
13, 0.08798480538978523, 0.04303220463740044, 0.5611911802272838, 1774303543.9331062 
3, 0.15530592347755867, 0.07906248467591512, 0.7663605684045093, 1774303543.9334111 
27, 3.453333333333333, -1.0192592592592593, 17.1152188438103, 1774303543.933701 
28, 2.432, -1.28, 20.53826261257236, 1774303543.933775 
29, 1.4, -0.4444444444444445, 12.836414132857726, 1774303544.0442624 
13, 0.09498522648561167, 0.04231831150809285, 0.569934947452595, 1774303544.0445492 
3, 0.14252921946675853, 0.07242799595023303, 0.7284193160346096, 1774303544.0451179 
13, 0.09274410495945876, 0.04190893521159403, 0.56733898604783, 1774303544.1657557 
3, 0.13931993700528456, 0.06612154033860204, 0.7054292629039558, 1774303544.166069 
30, 3.0, -1.6, 25.672828265715452, 1774303544.1661499 
3, 0.1498856764560831, 0.07299149052990704, 0.7479334424116871, 1774303544.272226 
31, 0.3511864406779661, -0.019284369114877593, 1.7405307298790138, 1774303544.2724435 
13, 0.09053310648293283, 0.041523279138594375, 0.5646026939881581, 1774303544.2728813 
32, 1.9733333333333332, -1.1140740740740742, 17.1152188438103, 1774303544.2729802 
3, 0.1583691966319807, 0.07838711437523975, 0.785179905939054, 1774303544.3792424 
31, 0.3460368620913217, -0.01829644036923837, 1.7133561673516287, 1774303544.3794725 
13, 0.08837488658071531, 0.04117518607526407, 0.5618786608963849, 1774303544.3799202 
33, 2.4685714285714284, -0.9142857142857144, 14.67018758040883, 1774303544.3799994 
32, 1.9555555555555555, -1.1140740740740742, 17.1152188438103, 1774303544.3800454 
3, 0.16413403885526556, 0.08244912719195405, 0.8124409135925619, 1774303544.4854398 
31, 0.340829283171627, -0.01847563159227386, 1.7127361941341468, 1774303544.4856818 
13, 0.08617739467180453, 0.04111879301032284, 0.5591556863637426, 1774303544.4861248 
34, 2.08, -0.7644444444444445, 12.836414132857726, 1774303544.4862525 
33, 2.175238095238095, -0.9210582010582011, 14.67018758040883, 1774303544.486314 
3, 0.16759728088393444, 0.08617465688738721, 0.8303916325774464, 1774303544.5916812 
13, 0.08423584426110775, 0.04107272601782055, 0.5569314726159168, 1774303544.592228 
31, 0.3314138726744311, -0.01875833285546986, 1.676722024377998, 1774303544.5923653 
35, 1.6719999999999997, -0.6115555555555555, 10.26913130628618, 1774303544.5924382 
33, 2.0084500047879565, -0.9192391080471567, 14.67018758040883, 1774303544.5924883 
3, 0.17183814453512294, 0.09093009721692716, 0.8540052506450954, 1774303544.6980598 
36, 4.031999999999999, 0.768, 20.53826261257236, 1774303544.6982555 
37, 2.38, -0.26666666666666666, 12.836414132857726, 1774303544.698344 
31, 0.324676170600638, -0.018892078527418896, 1.6484770426425317, 1774303544.698444 
13, 0.08209762986291709, 0.040351067421483415, 0.5526888787337264, 1774303544.6990278 
33, 1.9003402073213584, -0.9275242922907329, 14.67018758040883, 1774303544.6991792 
38, 0.8, -0.18101010101010104, 9.33557391480562, 1774303544.8078911 
13, 0.0870748958934524, 0.039810355725921315, 0.557924634808908, 1774303544.8081763 
3, 0.15442996232759434, 0.08155691796660888, 0.7984052679705549, 1774303544.8087144 
39, 1.1555555555555554, -0.7743209876543209, 11.410145895873534, 1774303544.8088636 
3, 0.1551590210565467, 0.08316139616984312, 0.8058228515396495, 1774303544.9152985 
40, 0.3255172413793103, -0.03432950191570881, 1.7705398803941692, 1774303544.915505 
13, 0.08337208919066343, 0.03893011022626105, 0.5516691240250137, 1774303544.9160268 
38, 0.8066666666666666, -0.31820426487093156, 8.965114632472062, 1774303544.9161894 
